name,province,phone_code
کشکسرای,آذربایجان شرقی,041
سهند,آذربایجان شرقی,041
سیس,آذربایجان شرقی,041
دوزدوزان,آذربایجان شرقی,041
تیمورلو,آذربایجان شرقی,041
صوفیان,آذربایجان شرقی,041
سردرود,آذربایجان شرقی,041
هادیشهر,آذربایجان شرقی,041
هشترود,آذربایجان شرقی,041
زرنق,آذربایجان شرقی,041
ترکمانچای,آذربایجان شرقی,041
ورزقان,آذربایجان شرقی,041
تسوج,آذربایجان شرقی,041
زنوز,آذربایجان شرقی,041
ایلخچی,آذربایجان شرقی,041
شرفخانه,آذربایجان شرقی,041
مهربان,آذربایجان شرقی,041
مبارک شهر,آذربایجان شرقی,041
تیکمه داش,آذربایجان شرقی,041
باسمنج,آذربایجان شرقی,041
سیه رود,آذربایجان شرقی,041
میانه,آذربایجان شرقی,041
خمارلو,آذربایجان شرقی,041
خواجه,آذربایجان شرقی,041
بناب مرند,آذربایجان شرقی,041
قره آغاج,آذربایجان شرقی,041
وایقان,آذربایجان شرقی,041
مراغه,آذربایجان شرقی,041
ممقان,آذربایجان شرقی,041
خامنه,آذربایجان شرقی,041
خسروشاه,آذربایجان شرقی,041
لیلان,آذربایجان شرقی,041
نظرکهریزی,آذربایجان شرقی,041
اهر,آذربایجان شرقی,041
بخشایش,آذربایجان شرقی,041
آقکند,آذربایجان شرقی,041
جوان قلعه,آذربایجان شرقی,041
کلیبر,آذربایجان شرقی,041
مرند,آذربایجان شرقی,041
اسکو,آذربایجان شرقی,041
شندآباد,آذربایجان شرقی,041
شربیان,آذربایجان شرقی,041
گوگان,آذربایجان شرقی,041
بستان آباد,آذربایجان شرقی,041
تبریز,آذربایجان شرقی,041
جلفا,آذربایجان شرقی,041
اچاچی,آذربایجان شرقی,041
هریس,آذربایجان شرقی,041
یامچی,آذربایجان شرقی,041
خاروانا,آذربایجان شرقی,041
کوزه کنان,آذربایجان شرقی,041
خداجو(خراجو),آذربایجان شرقی,041
آذرشهر,آذربایجان شرقی,041
شبستر,آذربایجان شرقی,041
سراب,آذربایجان شرقی,041
ملکان,آذربایجان شرقی,041
بناب,آذربایجان شرقی,041
هوراند,آذربایجان شرقی,041
کلوانق,آذربایجان شرقی,041
ترک,آذربایجان شرقی,041
عجب شیر,آذربایجان شرقی,041
آبش احمد,آذربایجان شرقی,041
تازه شهر,آذربایجان غربی,044
نالوس,آذربایجان غربی,044
ایواوغلی,آذربایجان غربی,044
شاهین دژ,آذربایجان غربی,044
گردکشانه,آذربایجان غربی,044
باروق,آذربایجان غربی,044
سیلوانه,آذربایجان غربی,044
بازرگان,آذربایجان غربی,044
نازک علیا,آذربایجان غربی,044
ربط,آذربایجان غربی,044
تکاب,آذربایجان غربی,044
دیزج دیز,آذربایجان غربی,044
سیمینه,آذربایجان غربی,044
نوشین,آذربایجان غربی,044
میاندوآب,آذربایجان غربی,044
مرگنلر,آذربایجان غربی,044
سلماس,آذربایجان غربی,044
آواجیق,آذربایجان غربی,044
قطور,آذربایجان غربی,044
محمودآباد,مازندران,011
خوی,آذربایجان غربی,044
نقده,آذربایجان غربی,044
سرو,آذربایجان غربی,044
خلیفان,آذربایجان غربی,044
پلدشت,آذربایجان غربی,044
میرآباد,آذربایجان غربی,044
اشنویه,آذربایجان غربی,044
زرآباد,سیستان و بلوچستان,054
بوکان,آذربایجان غربی,044
پیرانشهر,آذربایجان غربی,044
چهاربرج,آذربایجان غربی,044
قوشچی,آذربایجان غربی,044
شوط,آذربایجان غربی,044
ماکو,آذربایجان غربی,044
سیه چشمه,آذربایجان غربی,044
سردشت,هرمزگان,076
کشاورز,آذربایجان غربی,044
فیرورق,آذربایجان غربی,044
محمدیار,آذربایجان غربی,044
ارومیه,آذربایجان غربی,044
مهاباد,اصفهان,031
قره ضیاءالدین,آذربایجان غربی,044
پارس آباد,اردبیل,045
فخراباد,اردبیل,045
کلور,اردبیل,045
نیر,یزد,035
اردبیل,اردبیل,045
اسلام اباد,اردبیل,045
تازه کندانگوت,اردبیل,045
مشگین شهر,اردبیل,045
جعفرآباد,اردبیل,045
نمین,اردبیل,045
اصلاندوز,اردبیل,045
مرادلو,اردبیل,045
خلخال,اردبیل,045
کوراییم,اردبیل,045
هیر,اردبیل,045
گیوی,اردبیل,045
گرمی,اردبیل,045
لاهرود,اردبیل,045
هشتجین,اردبیل,045
عنبران,اردبیل,045
تازه کند,اردبیل,045
قصابه,اردبیل,045
رضی,اردبیل,045
سرعین,اردبیل,045
بیله سوار,اردبیل,045
آبی بیگلو,اردبیل,045
گزبرخوار,اصفهان,031
زیار,اصفهان,031
زرین شهر,اصفهان,031
گلشن,اصفهان,031
پیربکران,اصفهان,031
خالدآباد,اصفهان,031
سجزی,اصفهان,031
گوگد,اصفهان,031
تیران,اصفهان,031
ونک,اصفهان,031
دهق,اصفهان,031
زواره,اصفهان,031
کاشان,اصفهان,031
ابوزیدآباد,اصفهان,031
اصغرآباد,اصفهان,031
بافران,اصفهان,031
شهرضا,اصفهان,031
خور,فارس,071
مجلسی,اصفهان,031
هرند,اصفهان,031
فولادشهر,اصفهان,031
کمشچه,اصفهان,031
کلیشادوسودرجان,اصفهان,031
لای بید,اصفهان,031
قهجاورستان,اصفهان,031
چرمهین,اصفهان,031
رزوه,اصفهان,031
فریدونشهر,اصفهان,031
طرق رود,اصفهان,031
نصرآباد,خراسان رضوی,051
برزک,اصفهان,031
سفیدشهر,اصفهان,031
سمیرم,اصفهان,031
گلدشت,اصفهان,031
اردستان,اصفهان,031
جوشقان قالی,اصفهان,031
بویین ومیاندشت,اصفهان,031
کرکوند,اصفهان,031
درچه,اصفهان,031
انارک,اصفهان,031
دولت آباد,خراسان رضوی,051
ایمانشهر,اصفهان,031
